entidad,pais_de_origen,anio,trimestre,fecha,millones_de_dolares
Aguascalientes,Chile,2008,4,2008-12-01,0
Aguascalientes,"China, República Popular de",2008,4,2008-12-01,0
Aguascalientes,Colombia,2008,4,2008-12-01,0.0039839999999999997
Aguascalientes,"Corea, República de",2008,4,2008-12-01,0
Aguascalientes,Dinamarca,2008,4,2008-12-01,0
Aguascalientes,Ecuador,2008,4,2008-12-01,0
Aguascalientes,El Salvador,2008,4,2008-12-01,0
Aguascalientes,España,2008,4,2008-12-01,6.5853529999999996
Aguascalientes,Estados Unidos de América,2008,4,2008-12-01,3.5029860000000004
Aguascalientes,Francia,2008,4,2008-12-01,3.4670179999999999
Aguascalientes,Guatemala,2008,4,2008-12-01,0
Aguascalientes,Hong Kong,2008,4,2008-12-01,0
Aguascalientes,India,2008,4,2008-12-01,0
Aguascalientes,Italia,2008,4,2008-12-01,0
Aguascalientes,Japón,2008,4,2008-12-01,44.016719999999992
Aguascalientes,Luxemburgo,2008,4,2008-12-01,0
Aguascalientes,Nicaragua,2008,4,2008-12-01,0
Aguascalientes,Países Bajos,2008,4,2008-12-01,0
Aguascalientes,Panamá,2008,4,2008-12-01,0
Aguascalientes,Perú,2008,4,2008-12-01,0
Aguascalientes,Portugal,2008,4,2008-12-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2008,4,2008-12-01,0
Aguascalientes,República Checa,2008,4,2008-12-01,1.6773309999999999
Aguascalientes,Singapur,2008,4,2008-12-01,0.11068799999999999
Aguascalientes,Suecia,2008,4,2008-12-01,-0.12551200000000001
Aguascalientes,Suiza,2008,4,2008-12-01,-0.003065
Aguascalientes,Taiwán,2008,4,2008-12-01,0
Aguascalientes,Uruguay,2008,4,2008-12-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2008,4,2008-12-01,0
Aguascalientes,Otros países,2008,4,2008-12-01,-0.16453299999999996
Aguascalientes,Alemania,2009,1,2009-03-01,2.3080369999999997
Aguascalientes,Argentina,2009,1,2009-03-01,0
Aguascalientes,Australia,2009,1,2009-03-01,0
Aguascalientes,Austria,2009,1,2009-03-01,0
